scenario,hand,raise,call,fold,best,confidence
RFI_SB,66,0.07138001359619306,0.9286199864038069,0.0,call,0.9286199864038069
RFI_SB,A7o,0.06617243272926963,0.9338275672707304,0.0,call,0.9338275672707304
RFI_SB,Q9o,0.06529774127310062,0.9347022587268994,0.0,call,0.9347022587268994
RFI_SB,T9o,0.06133369923161361,0.9386663007683864,0.0,call,0.9386663007683864
RFI_SB,AA,0.9391629711751663,0.0608370288248337,0.0,raise,0.9391629711751663
RFI_SB,T6s,0.0525955348582386,0.9474044651417614,0.0,call,0.9474044651417614
RFI_SB,JTo,0.05217509147580973,0.9478249085241903,0.0,call,0.9478249085241903
RFI_UTG,44,0.5542331620232621,0.0,0.4457668379767379,raise,0.5542331620232621
RFI_UTG,A3s,0.6309769877359791,0.0,0.36902301226402096,raise,0.6309769877359791
RFI_UTG,K6s,0.315341299272078,0.0,0.684658700727922,fold,0.684658700727922
RFI_UTG,33,0.2980872844827586,0.0,0.7019127155172413,fold,0.7019127155172413
RFI_UTG,QJo,0.26839590443686007,0.0,0.7316040955631399,fold,0.7316040955631399
RFI_UTG,98s,0.778998778998779,0.0,0.221001221001221,raise,0.778998778998779
RFI_UTG,87s,0.2100203114421124,0.0,0.7899796885578876,fold,0.7899796885578876
RFI_UTG,ATo,0.8407412567925316,0.0,0.1592587432074683,raise,0.8407412567925316
RFI_UTG,KJo,0.8818243703199455,0.0,0.11817562968005446,raise,0.8818243703199455
RFI_UTG,K7s,0.1062067092217846,0.0,0.8937932907782155,fold,0.8937932907782155
RFI_UTG,T8s,0.8951568519537699,0.0,0.10484314804623004,raise,0.8951568519537699
RFI_UTG,22,0.07477768795472918,0.0,0.9252223120452708,fold,0.9252223120452708
RFI_UTG+1,KTo,0.4097222222222222,0.0,0.5902777777777778,fold,0.5902777777777778
RFI_UTG+1,87s,0.6598510494245091,0.0,0.3401489505754909,raise,0.6598510494245091
RFI_UTG+1,JTo,0.3267407206719046,0.0,0.6732592793280954,fold,0.6732592793280954
RFI_UTG+1,33,0.7008351293103449,0.0,0.2991648706896552,raise,0.7008351293103449
RFI_UTG+1,K6s,0.707732454333196,0.0,0.292267545666804,raise,0.707732454333196
RFI_UTG+1,A2s,0.26307798481711525,0.0,0.7369220151828847,fold,0.7369220151828847
RFI_UTG+1,J8s,0.2488148449139916,0.0,0.7511851550860084,fold,0.7511851550860084
RFI_UTG+1,K7s,0.7678935216623659,0.0,0.23210647833763412,raise,0.7678935216623659
RFI_UTG+1,QJo,0.7909897610921501,0.0,0.20901023890784984,raise,0.7909897610921501
RFI_UTG+1,22,0.13621665319320939,0.0,0.8637833468067906,fold,0.8637833468067906
RFI_UTG+1,QTo,0.0983449596498427,0.0,0.9016550403501573,fold,0.9016550403501573
